"","Hepatocytes_1","Hepatocytes_2","Endothelial","Kupffer","Stellate","Cholangiocyte","T_cell"
"NALCN",0.0664496484322347,0.0335756351544961,0.0653184782104552,0.0157095495477774,1.17921806180615,0.0179779774841225,0.000537844021299384
"MAGI1",13.0089720005326,10.6434460889769,11.9568735805334,1.87015381004152,4.57515631482344,38.0816967688627,1.51305373725778
"PCLO",0.106253412585599,0.0964612923446935,0.0477386806789269,0.0311398151843452,0.0416900138990178,1.46788923147266,0.0390565412828603
"AC007319.1",0.87171293360414,0.646337282993534,1.53241398458094,0.908753764959507,1.6663031942105,0.63600189351851,0.16493686143541
"RGS7BP",0.0536799020563731,0.0561912608321655,0.760574654676953,0.03247151394944,0.293506053718711,0.0401391879087797,0.0597875824574663
"FAP",0.00605043552817973,0.00670065882967998,0.00437094757911996,0.0118410344020336,0.0571322600590709,-0.000239500840188757,0.00304680411987753
"TPX2",0.0224581182355634,0.0502475490222688,0.0100607564115035,0.0468802107493627,0.019298467660447,0.00810144275514664,0.0833335075177134
"MIR503HG",0.0273051740449028,0.0417302747389988,0.825993711666194,0.0481612793204934,0.500367370722537,0.00121211590167278,0.0138904866165296
"AC123912.4",0.0202847642270232,0.0161112438863608,0.00634491802983319,0.000109403672665824,0.195698264595358,0.0792992207977739,0.0250378549779451
"GLI2",0.0332079393421887,0.0196646211736348,0.0251072954926961,0.0085446538481854,1.19215364556507,0.00703358791823286,0.084084143684168
"LINC02331",0.0274800825599378,0.0865130614883379,0.0199490825679743,0.0199175644812359,0.00319097270641098,0.7757032395175,-0.00338658912259928
"SEMA5A",0.554758408492413,0.227201529380437,0.0924956024195146,0.199112395196159,3.22814732441124,1.91045417131708,0.245875319916256
"DCHS2",0.00492864423091164,0.00153598391545445,0.0054466987171089,-7.77362142429906e-05,0.143573843812688,0.01787678632056,-0.000425908468645408
"NKD1",0.0899992561469801,0.0537444401476478,0.00768044263761238,0.0622611414764381,1.11324742434851,0.0559143005641542,0.179542669672962
"MAP3K21",0.413769405825592,0.287251026057557,0.0897838448224492,0.0964025751906891,0.114886394633428,2.88207045361504,0.0718499952845202
"SAMD3",0.0358028518490981,0.049675568538098,0.0216583689231643,0.0133921003842349,0.183325010141649,0.0542745222475625,2.21875979713508
"AC016735.1",0.013323020064011,0.00545037937882512,0.00141114854892985,-0.00175383408340185,0.00516628903703171,0.345170380551023,0.0149819692686352
"ANK2",0.0823686721483888,0.0511132986600058,0.0609333570623045,0.16530504899188,0.383255529375538,0.115634525470696,0.0431867333107536
"SLC44A5",0.0867495345639842,0.0881806669975654,0.203387678726939,0.0175727605911945,0.0468330616044967,0.106969383478443,0.137747194956532
"NCAPG",0.00901930125009061,0.0309193334804003,0.00924211719787527,0.000348914767340685,0.0121567626769989,0.0228614476618524,0.0699376245799881
"C14orf180",0.00729391927426246,0.00121806564908852,0.00318834422208482,-2.5646127794424e-05,0.128981287209999,0.000292487435382198,0.000102393726684077
"FA2H",0.00760487991721237,0.0148739963050688,0.0125389778424314,0.00546114222485119,0.0129850477943553,0.29946833829765,-0.000119652861545508
"SPECC1",0.0821993539472232,0.210084263176103,0.150179066399541,0.50469348419866,0.963288843731608,0.193856809190644,0.605350335519647
"EML5",0.0387009916031796,0.046571124786042,0.0654662402933967,0.0162957689533415,0.053834322365809,0.34537451538727,0.2903313948166
"GABRA5",0.013938951550628,0.00436384076537976,0.00416480312198422,1.24021596650652e-05,0.0089398551525538,0.0301380426862615,1.20014433484345e-05
"RGS17",0.0115366085352333,0.00790796922662208,0.014366878383532,0.0293269150211835,0.0156626918436229,0.123614515402394,0.0638863225847271
"LRFN5",0.018330302134197,0.00868438548403101,0.0621571768162162,0.00946614402354612,0.0893753953359612,0.0173886058059892,0.0270550840990341
"SPARCL1",0.150061357334833,0.196934023291644,0.401887085867309,0.133873814429802,0.605489965460205,0.132320813066834,0.138463452657257
"CXXC4-AS1",0.10438910481604,0.051377635389416,0.0816664235459364,0.0115595413968781,0.0181261362637393,0.062141880579985,-0.000635323251751888
"DCLK1",0.0443917977991017,0.0258600804230055,0.0532276048571123,0.0378354278536946,0.212473648910984,0.0280689961595202,-0.000211426533877852
"VWA2",0.00381711011776301,0.00106577336970316,0.00322272608019106,7.38614788482693e-05,0.00954414270571631,0.0458741054513882,0
"ANLN",0.0156290987673858,0.0340483590300289,0.010139599054154,0.0215940711395966,0.0192570027367755,0.0147033155782536,0.0449995486178247
"LINC01320",0.583782724861107,0.466649051558154,0.274241249562233,0.115837306551416,0.194733963891896,2.30131153090779,0.211629790403345
