"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HMOX1",0,-0.268614847063305,0.009,0.162,0
"SOX4",0,-0.335039279459784,0.005,0.174,0
"MERTK",8.16707157149398e-308,0.467362009465393,0.088,0.844,1.6334143142988e-304
"STOX2",1.51236756973034e-304,0.388405987917319,0.102,0.861,3.02473513946068e-301
"ST6GALNAC3",9.01986889645215e-302,0.567871195058208,0.111,0.872,1.80397377929043e-298
"SLC7A5",1.43715738249723e-297,0.483037999504958,0.124,0.886,2.87431476499447e-294
"FAM160A1",8.85988658700731e-296,0.31889227396587,0.085,0.81,1.77197731740146e-292
"CYP3A43",7.8654314051582e-295,0.75749098698382,0.188,0.979,1.57308628103164e-291
"KAZN",6.52650180149187e-292,0.335492380577128,0.061,0.8,1.30530036029837e-288
"AC080128.1",1.43172949546482e-287,0.606857240711082,0.178,0.958,2.86345899092964e-284
"PTPRD",2.62931777294433e-276,0.69237075982324,0.205,0.992,5.25863554588866e-273
"CACNA2D1",7.24047872852559e-275,0.361090140469856,0.046,0.738,1.44809574570512e-271
"RND1",6.10221392020465e-272,-0.264574905893687,0.012,0.282,1.22044278404093e-268
"AL138828.1",4.42197723276138e-271,-0.311128150762283,0.035,0.269,8.84395446552275e-268
"DISC1FP1",3.54736657949005e-267,-0.329355984442032,0.03,0.279,7.09473315898011e-264
"PKHD1",4.23515328768933e-267,0.6867748136024,0.186,0.958,8.47030657537865e-264
"ZEB2",2.52429476465932e-266,0.455368333435146,0.1,0.839,5.04858952931864e-263
"VNN3",3.9343615964996e-265,-0.572657380573037,0.004,0.287,7.8687231929992e-262
"PLXDC2",2.26398935803244e-262,0.541654357151231,0.165,0.924,4.52797871606489e-259
"MAML2",6.07273836148699e-255,0.52465320797177,0.102,0.835,1.2145476722974e-251
"PARP8",1.56272603823911e-251,0.286819911001035,0.077,0.281,3.12545207647822e-248
"HMCN1",3.77865171525187e-246,0.530116227535836,0.112,0.843,7.55730343050374e-243
"MRC1",1.1805083914507e-237,0.329191741495757,0.11,0.835,2.36101678290139e-234
"C11orf96",4.40797563466151e-235,-0.454373769556797,0.002,0.3,8.81595126932302e-232
"DLGAP2",1.09403173282478e-221,0.63655140864725,0.129,0.85,2.18806346564956e-218
"AC096577.1",5.19643755950152e-217,0.729501317454066,0.162,0.891,1.0392875119003e-213
"MAP2",6.50858659534785e-216,0.26320355749511,0.037,0.718,1.30171731906957e-212
"GADD45G",1.69839516553745e-204,-0.455003011120889,0.013,0.312,3.39679033107489e-201
"ANKS1A",2.65252139204843e-199,0.387765330942515,0.185,0.905,5.30504278409686e-196
"TNFAIP8",2.5954257336215e-196,-0.569991483612953,0.02,0.315,5.190851467243e-193
"IL1RAPL2",2.47681149817227e-188,0.641926145422865,0.154,0.859,4.95362299634455e-185
"SPP1",1.44947190857488e-186,-0.45730666688856,0.011,0.321,2.89894381714976e-183
"AC007161.3",1.24726413837548e-184,0.277622579280644,0.183,0.891,2.49452827675097e-181
"TCF7L1",1.20277078545456e-182,0.398151698395287,0.087,0.775,2.40554157090912e-179
"AC093423.3",7.85987014796825e-180,0.395982179675489,0.157,0.857,1.57197402959365e-176
"FIGN",7.11626671718005e-177,0.716297245910271,0.204,0.916,1.42325334343601e-173
"CRP",2.7298490635415e-176,-0.355578155867305,0.257,0.973,5.459698127083e-173
"IGFBP7",3.54214164528432e-176,-0.379158182934349,0.04,0.324,7.08428329056864e-173
"CTNND2",1.1806807117024e-171,0.302719643295482,0.05,0.714,2.3613614234048e-168
"CFAP221",1.61713657304977e-170,-0.289101944871492,0.008,0.314,3.23427314609954e-167
"STEAP4",9.05937225133196e-169,-0.439231178797306,0.025,0.329,1.81187445026639e-165
"DPP4",1.46833745390863e-161,0.29181471267106,0.057,0.727,2.93667490781726e-158
"FAT4",8.69372573921474e-158,0.297920056320156,0.072,0.74,1.73874514784295e-154
"AC015687.1",5.96410218329367e-156,0.844156366891618,0.192,0.883,1.19282043665873e-152
"SPSB1",3.62103580262592e-149,-0.384047680535117,0.024,0.34,7.24207160525183e-146
