"sample","Gene","ID","TF","E_ID","enhancer"
"HTN","VWA1",135,"RUNX1","E_11440","HTN_E"
"HTN","VWA1",135,"RUNX1","E_11825","HTN_E"
"HTN","VWA1",135,"RUNX1","E_12084","HTN_E"
"HTN","VWA1",135,"RUNX1","E_12716","HTN_E"
"HTN","VWA1",135,"RUNX1","E_13260","HTN_E"
"HTN","VWA1",135,"RUNX1","E_13381","HTN_E"
"HTN","VWA1",135,"RUNX1","E_14151","HTN_E"
"HTN","VWA1",135,"RUNX1","E_14227","HTN_E"
"HTN","VWA1",135,"RUNX1","E_14250","HTN_E"
"HTN","VWA1",135,"RUNX1","E_14449","HTN_E"
"HTN","VWA1",135,"RUNX1","E_15397","HTN_E"
"HTN","VWA1",135,"RUNX1","E_15547","HTN_E"
"HTN","VWA1",135,"RUNX1","E_16228","HTN_E"
"HTN","VWA1",135,"RUNX1","E_16366","HTN_E"
"HTN","VWA1",135,"RUNX1","E_16965","HTN_E"
"HTN","VWA1",135,"RUNX1","E_17076","HTN_E"
"HTN","VWA1",135,"RUNX1","E_17135","HTN_E"
"HTN","VWA1",135,"RUNX1","E_17590","HTN_E"
"HTN","VWA1",135,"RUNX1","E_17862","HTN_E"
"HTN","VWA1",135,"RUNX1","E_17863","HTN_E"
"HTN","VWA1",135,"RUNX1","E_17938","HTN_E"
"HTN","VWA1",135,"RUNX1","E_18391","HTN_E"
"HTN","VWA1",135,"RUNX1","E_18513","HTN_E"
"HTN","VWA1",135,"RUNX1","E_18586","HTN_E"
"HTN","VWA1",135,"RUNX1","E_18918","HTN_E"
"HTN","VWA1",135,"RUNX1","E_19582","HTN_E"
"HTN","VWA1",135,"RUNX1","E_19726","HTN_E"
"HTN","VWA1",135,"RUNX1","E_20811","HTN_E"
"HTN","VWA1",135,"RUNX1","E_20974","HTN_E"
"HTN","VWA1",135,"RUNX1","E_21236","HTN_E"
"HTN","VWA1",135,"RUNX1","E_21784","HTN_E"
"HTN","VWA1",135,"RUNX1","E_24294","HTN_E"
"HTN","VWA1",135,"RUNX1","E_25052","HTN_E"
"HTN","VWA1",135,"RUNX1","E_25242","HTN_E"
"HTN","VWA1",135,"RUNX1","E_26135","HTN_E"
"HTN","VWA1",135,"RUNX1","E_26338","HTN_E"
"HTN","VWA1",135,"RUNX1","E_26532","HTN_E"
"HTN","VWA1",135,"RUNX1","E_28284","HTN_E"
"HTN","VWA1",135,"RUNX1","E_28772","HTN_E"
"HTN","VWA1",135,"RUNX1","E_28773","HTN_E"
"HTN","VWA1",135,"RUNX1","E_28885","HTN_E"
"HTN","VWA1",135,"RUNX1","E_31315","HTN_E"
"HTN","VWA1",135,"RUNX1","E_31343","HTN_E"
"HTN","VWA1",135,"RUNX1","E_31469","HTN_E"
"HTN","VWA1",135,"RUNX1","E_31589","HTN_E"
"HTN","VWA1",135,"RUNX1","E_32212","HTN_E"
"HTN","VWA1",135,"RUNX1","E_32286","HTN_E"
"HTN","VWA1",135,"RUNX1","E_32299","HTN_E"
"HTN","VWA1",135,"RUNX1","E_32559","HTN_E"
"HTN","VWA1",135,"RUNX1","E_33248","HTN_E"
"HTN","VWA1",135,"RUNX1","E_33567","HTN_E"
"HTN","VWA1",135,"RUNX1","E_34708","HTN_E"
"HTN","VWA1",135,"RUNX1","E_35047","HTN_E"
"HTN","VWA1",135,"RUNX1","E_35145","HTN_E"
"HTN","VWA1",135,"RUNX1","E_35259","HTN_E"
"HTN","VWA1",135,"RUNX1","E_35260","HTN_E"
"HTN","VWA1",135,"RUNX1","E_35355","HTN_E"
"HTN","VWA1",135,"RUNX1","E_35512","HTN_E"
"HTN","VWA1",135,"RUNX1","E_36049","HTN_E"
"HTN","VWA1",135,"RUNX1","E_37351","HTN_E"
"HTN","VWA1",135,"RUNX1","E_37655","HTN_E"
"HTN","VWA1",135,"RUNX1","E_37665","HTN_E"
"HTN","VWA1",135,"RUNX1","E_39129","HTN_E"
"HTN","VWA1",135,"RUNX1","E_39218","HTN_E"
"HTN","VWA1",135,"RUNX1","E_39747","HTN_E"
"HTN","VWA1",135,"RUNX1","E_39996","HTN_E"
"HTN","VWA1",135,"RUNX1","E_40156","HTN_E"
"HTN","VWA1",135,"RUNX1","E_40266","HTN_E"
"HTN","VWA1",135,"RUNX1","E_40751","HTN_E"
"HTN","VWA1",135,"RUNX1","E_40950","HTN_E"
"HTN","VWA1",135,"RUNX1","E_41547","HTN_E"
"HTN","VWA1",135,"RUNX1","E_42511","HTN_E"
"HTN","VWA1",135,"RUNX1","E_44051","HTN_E"
"HTN","VWA1",135,"RUNX1","E_44295","HTN_E"
"HTN","VWA1",135,"RUNX1","E_46194","HTN_E"
"HTN","VWA1",135,"RUNX1","E_46196","HTN_E"
"HTN","VWA1",135,"RUNX1","E_46653","HTN_E"
"HTN","VWA1",135,"RUNX1","E_47185","HTN_E"
"HTN","VWA1",135,"RUNX1","E_47225","HTN_E"
"HTN","VWA1",135,"RUNX1","E_47464","HTN_E"
"HTN","VWA1",135,"RUNX1","E_48283","HTN_E"
"HTN","VWA1",135,"RUNX1","E_49162","HTN_E"
"HTN","VWA1",135,"RUNX1","E_49813","HTN_E"
"HTN","VWA1",135,"RUNX1","E_49825","HTN_E"
"HTN","VWA1",135,"RUNX1","E_50087","HTN_E"
"HTN","VWA1",135,"RUNX1","E_50260","HTN_E"
"HTN","VWA1",135,"RUNX1","E_50860","HTN_E"
"HTN","VWA1",135,"RUNX1","E_51399","HTN_E"
"HTN","VWA1",135,"RUNX1","E_51712","HTN_E"
"HTN","VWA1",135,"RUNX1","E_52410","HTN_E"
"HTN","VWA1",135,"RUNX1","E_52413","HTN_E"
"HTN","VWA1",135,"RUNX1","E_53407","HTN_E"
"HTN","VWA1",135,"RUNX1","E_54018","HTN_E"
"HTN","VWA1",135,"RUNX1","E_54343","HTN_E"
"HTN","VWA1",135,"RUNX1","E_54479","HTN_E"
"HTN","VWA1",135,"RUNX1","E_56159","HTN_E"
"HTN","VWA1",135,"RUNX1","E_56189","HTN_E"
"HTN","VWA1",135,"RUNX1","E_56229","HTN_E"
"HTN","VWA1",135,"RUNX1","E_56249","HTN_E"
"HTN","VWA1",135,"RUNX1","E_56513","HTN_E"
"HTN","VWA1",135,"RUNX1","E_56525","HTN_E"
"HTN","VWA1",135,"RUNX1","E_56571","HTN_E"
"HTN","VWA1",135,"RUNX1","E_57342","HTN_E"
"HTN","VWA1",135,"RUNX1","E_58007","HTN_E"
"HTN","VWA1",135,"RUNX1","E_58090","HTN_E"
"HTN","VWA1",135,"RUNX1","E_58997","HTN_E"
"HTN","VWA1",135,"RUNX1","E_59043","HTN_E"
"HTN","VWA1",135,"RUNX1","E_59150","HTN_E"
"HTN","VWA1",135,"RUNX1","E_59299","HTN_E"
"HTN","VWA1",135,"RUNX1","E_59361","HTN_E"
"HTN","VWA1",135,"RUNX1","E_60221","HTN_E"
"HTN","VWA1",135,"RUNX1","E_60354","HTN_E"
"HTN","VWA1",135,"RUNX1","E_60750","HTN_E"
"HTN","VWA1",135,"RUNX1","E_60952","HTN_E"
"HTN","VWA1",135,"RUNX1","E_61268","HTN_E"
"HTN","VWA1",135,"RUNX1","E_61380","HTN_E"
"HTN","VWA1",135,"RUNX1","E_61935","HTN_E"
"HTN","VWA1",135,"RUNX1","E_61954","HTN_E"
"HTN","VWA1",135,"RUNX1","E_62516","HTN_E"
"HTN","VWA1",135,"RUNX1","E_63062","HTN_E"
"HTN","VWA1",135,"RUNX1","E_63299","HTN_E"
"HTN","VWA1",135,"RUNX1","E_63455","HTN_E"
"HTN","VWA1",135,"RUNX1","E_64082","HTN_E"
"HTN","VWA1",135,"RUNX1","E_65084","HTN_E"
"HTN","VWA1",135,"RUNX1","E_65171","HTN_E"
"HTN","VWA1",135,"RUNX1","E_65177","HTN_E"
"HTN","VWA1",135,"RUNX1","E_65374","HTN_E"
"HTN","VWA1",135,"RUNX1","E_65604","HTN_E"
"HTN","VWA1",135,"RUNX1","E_65618","HTN_E"
"HTN","VWA1",135,"RUNX1","E_65632","HTN_E"
"HTN","VWA1",135,"RUNX1","E_66171","HTN_E"
"HTN","VWA1",135,"RUNX1","E_67114","HTN_E"
"HTN","VWA1",135,"RUNX1","E_67198","HTN_E"
"HTN","VWA1",135,"RUNX1","E_68186","HTN_E"
"HTN","VWA1",135,"RUNX1","E_68606","HTN_E"
"HTN","VWA1",135,"RUNX1","E_68853","HTN_E"
"HTN","VWA1",135,"RUNX1","E_68885","HTN_E"
