"sample","Gene","ID","TF","enhancer"
"HTN","ARMC6",146940,"ESR2","HTN_E"
"HTN","ARMC6",146940,"WT1","Nor_E"
"HTN","ARMC6",146940,"WT1","HTN_E"
"HTN","ARMC6",146939,"LEF1","Nor_E"
"HTN","ARMC6",146939,"LEF1","HTN_E"
"HTN","ARMC6",146939,"BCL11A","Nor_E"
"HTN","ARMC6",146939,"BCL11A","HTN_E"
"HTN","ARMC6",146939,"BCL11B","Nor_E"
"HTN","ARMC6",146939,"BCL11B","HTN_E"
"HTN","ARMC6",146939,"POU4F1","Nor_E"
"HTN","ARMC6",146939,"POU4F1","HTN_E"
"HTN","ARMC6",146939,"POU1F1","Nor_E"
"HTN","ARMC6",146939,"POU1F1","HTN_E"
"HTN","ZNF337-AS1",151825,"IRF4","Nor_E"
"HTN","ZNF337-AS1",151825,"IRF4","HTN_E"
"HTN","ZNF337-AS1",151825,"IKZF1","Nor_E"
"HTN","ZNF337-AS1",151825,"IKZF1","HTN_E"
"HTN","ZNF337-AS1",151825,"ESR2","Nor_E"
"HTN","ZNF337-AS1",151825,"ESR2","HTN_E"
"HTN","ZNF337-AS1",151825,"WT1","Nor_E"
"HTN","ZNF337-AS1",151825,"WT1","HTN_E"
"HTN","ZNF337-AS1",151825,"EGR3","HTN_E"
"HTN","ZNF337-AS1",151824,"BCL11A","Nor_E"
"HTN","ZNF337-AS1",151824,"BCL11A","HTN_E"
"HTN","ZNF337-AS1",151824,"BCL11B","Nor_E"
"HTN","ZNF337-AS1",151824,"BCL11B","HTN_E"
"HTN","ZNF337-AS1",151824,"ESR2","Nor_E"
"HTN","ZNF337-AS1",151824,"ESR2","HTN_E"
"HTN","ZNF337-AS1",151824,"MLXIPL","HTN_E"
"HTN","ZNF337-AS1",151824,"HES5","Nor_E"
"HTN","ZNF337-AS1",151824,"HES5","HTN_E"
"HTN","ZNF337-AS1",151824,"PPARG","Nor_E"
"HTN","ZNF337-AS1",151824,"PPARG","HTN_E"
"HTN","DDIT4",93033,"BCL11A","Nor_E"
"HTN","DDIT4",93033,"BCL11A","HTN_E"
"HTN","DDIT4",93033,"GATA4","Nor_E"
"HTN","DDIT4",93033,"GATA4","HTN_E"
"HTN","DDIT4",93033,"BCL11B","Nor_E"
"HTN","DDIT4",93033,"BCL11B","HTN_E"
"HTN","DDIT4",93033,"ERG","Nor_E"
"HTN","DDIT4",93033,"ERG","HTN_E"
"HTN","DDIT4",93033,"WT1","Nor_E"
"HTN","DDIT4",93033,"WT1","HTN_E"
"HTN","TAT-AS1",131210,"EBF1","Nor_E"
"HTN","TAT-AS1",131210,"EBF1","HTN_E"
"HTN","TAT-AS1",131210,"MEF2C","Nor_E"
"HTN","TAT-AS1",131210,"MEF2C","HTN_E"
"HTN","TAT-AS1",131210,"RARB","Nor_E"
"HTN","TAT-AS1",131210,"RARB","HTN_E"
"HTN","TAT-AS1",131210,"TCF7L1","Nor_E"
"HTN","TAT-AS1",131210,"TCF7L1","HTN_E"
"HTN","GADD45G",84309,"EBF1","Nor_E"
"HTN","GADD45G",84309,"EBF1","HTN_E"
"HTN","GADD45G",84309,"MEOX2","Nor_E"
"HTN","GADD45G",84309,"MEOX2","HTN_E"
"HTN","ANKS1A",58694,"EBF1","Nor_E"
"HTN","ANKS1A",58694,"EBF1","HTN_E"
"HTN","ANKS1A",58694,"EHF","Nor_E"
"HTN","ANKS1A",58694,"EHF","HTN_E"
"HTN","ANKS1A",58694,"ELF3","Nor_E"
"HTN","ANKS1A",58694,"ELF3","HTN_E"
"HTN","ANKS1A",58694,"PAX2","Nor_E"
"HTN","ANKS1A",58694,"PAX2","HTN_E"
"HTN","ANKS1A",58694,"ETS1","Nor_E"
"HTN","ANKS1A",58694,"ETS1","HTN_E"
"HTN","ANKS1A",58694,"WT1","Nor_E"
"HTN","ANKS1A",58694,"WT1","HTN_E"
"HTN","ANKS1A",58694,"FLI1","Nor_E"
"HTN","ANKS1A",58694,"FLI1","HTN_E"
"HTN","PDXDC2P-NPIPB14P",131100,"EBF1","Nor_E"
"HTN","PDXDC2P-NPIPB14P",131100,"EBF1","HTN_E"
"HTN","PDXDC2P-NPIPB14P",131100,"EHF","Nor_E"
"HTN","PDXDC2P-NPIPB14P",131100,"EHF","HTN_E"
"HTN","PDXDC2P-NPIPB14P",131100,"ELF3","Nor_E"
"HTN","PDXDC2P-NPIPB14P",131100,"ELF3","HTN_E"
"HTN","PDXDC2P-NPIPB14P",131100,"ETS1","Nor_E"
"HTN","PDXDC2P-NPIPB14P",131100,"ETS1","HTN_E"
"HTN","PDXDC2P-NPIPB14P",131100,"WT1","Nor_E"
"HTN","PDXDC2P-NPIPB14P",131100,"WT1","HTN_E"
"HTN","PDXDC2P-NPIPB14P",131100,"FLI1","Nor_E"
"HTN","PDXDC2P-NPIPB14P",131100,"FLI1","HTN_E"
"HTN","G6PC",136475,"HNF1B","Nor_E"
"HTN","G6PC",136475,"HNF1B","HTN_E"
